"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","term"
"618","CyberAnonymous: vanguardngrnews: “123 terrorists” killed in Niger’s anti-Boko Haram operations
… https://t.co/HPDOPMkSBL",FALSE,0,NA,2016-09-30 19:48:53,FALSE,NA,"781943923442941953",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","ikmuhd",0,FALSE,FALSE,NA,NA,"boko haram"
"619","US builds a $100 million African drone base to fight Boko Haram - https://t.co/KbSzY2xHDx - by Andrew Tarantola",FALSE,0,NA,2016-09-30 19:48:50,FALSE,NA,"781943909819805697",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","Jane_Cakeee",0,FALSE,FALSE,NA,NA,"boko haram"
"620","US builds a $100 million African drone base to fight Boko Haram https://t.co/87FdP22BlS https://t.co/sL2EzplzQX",FALSE,0,NA,2016-09-30 19:48:50,FALSE,NA,"781943909618286592",NA,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>","psdwordpress",0,FALSE,FALSE,NA,NA,"boko haram"
"621","engadget: US builds a $100 million African drone base to fight Boko Haram https://t.co/FuzcXHayMh https://t.co/uh3PJLJ2Bb",FALSE,0,NA,2016-09-30 19:48:50,FALSE,NA,"781943908523794433",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","QAccessGlobal",0,FALSE,FALSE,NA,NA,"boko haram"
"622","US builds a $100 million African drone base to fight Boko Haram https://t.co/sdgK28qBcH",FALSE,0,NA,2016-09-30 19:48:49,FALSE,NA,"781943907269607424",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","kickdown2010",0,FALSE,FALSE,NA,NA,"boko haram"
"623","US builds a $100 million African drone base to fight Boko Haram, via Engadget RSS Feed https://t.co/E96YzejOjc https://t.co/yDCMXM7xA1",FALSE,0,NA,2016-09-30 19:48:47,FALSE,NA,"781943897396084736",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","infofixksa",0,FALSE,FALSE,NA,NA,"boko haram"
"624","US builds a $100 million African drone base to fight Boko Haram https://t.co/VVIWfAc28U [Engadget]",FALSE,0,NA,2016-09-30 19:48:35,FALSE,NA,"781943845743423488",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","noktor_news",0,FALSE,FALSE,NA,NA,"boko haram"
"625","RT @engadget: US builds a $100 million African drone base to fight Boko Haram https://t.co/RlAkjiSkZu https://t.co/V3uObPLuUp",FALSE,0,NA,2016-09-30 19:48:32,FALSE,NA,"781943834833858560",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mateolorente",16,TRUE,FALSE,NA,NA,"boko haram"
"626","US builds a $100 million African drone base to fight Boko Haram https://t.co/e67aDFG7do https://t.co/nWvVJqoLkb",FALSE,0,NA,2016-09-30 19:48:31,FALSE,NA,"781943828076896257",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","weusedtobehuman",0,FALSE,FALSE,NA,NA,"boko haram"
"627","RT @Amaka_Ekwo: Nnamdi Kanu must be a prophet.

Nigeria now like then Somalia says OXFAM.

Pls support #SelfDetermination. #Biafra 

https:…",FALSE,0,NA,2016-09-30 19:48:30,FALSE,NA,"781943825522647040",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","NdukweEmole1",64,TRUE,FALSE,NA,NA,"boko haram"
