"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"298","US builds a $100 million African drone base to fight Boko Haram https://t.co/4YH4WvNfbR https://t.co/Vcn2G0pHg0 via engadget",FALSE,0,NA,2016-09-30 19:52:29,FALSE,NA,"781944829454450688",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","SmithMediaNY",0,FALSE,FALSE,NA,NA
"299","US builds a $100 million African drone base to fight Boko Haram https://t.co/A1ijEOrj5J #agadez #al_qaeda",FALSE,0,NA,2016-09-30 19:52:26,FALSE,NA,"781944814451380224",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","GeekPills",0,FALSE,FALSE,NA,NA
"300","US builds a $100 million African drone base to fight Boko Haram https://t.co/kWQyyEaWsN",FALSE,0,NA,2016-09-30 19:52:26,FALSE,NA,"781944813591539714",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","GOODManor",0,FALSE,FALSE,NA,NA
"301","US builds a $100 million African drone base to fight Boko Haram https://t.co/X8YTUcabfF",FALSE,0,NA,2016-09-30 19:52:25,FALSE,NA,"781944812387696640",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","technews6",0,FALSE,FALSE,NA,NA
"302","US builds a $100 million African drone base to fight Boko Haram https://t.co/M55IRSNpk2",FALSE,0,NA,2016-09-30 19:52:25,FALSE,NA,"781944811469234176",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","CamaLounge",0,FALSE,FALSE,NA,NA
"303","US builds a $100 million African drone base to fight Boko Haram https://t.co/wPCNLDuCJP",FALSE,0,NA,2016-09-30 19:52:25,FALSE,NA,"781944810709987330",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","NonGeekTechv2",0,FALSE,FALSE,NA,NA
"304","US builds a $100 million African drone base to fight Boko Haram https://t.co/rBT7PcLssE",FALSE,0,NA,2016-09-30 19:52:25,FALSE,NA,"781944810038894592",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","DopeDrive",0,FALSE,FALSE,NA,NA
"305","Savaged by Boko Haram https://t.co/yybCpxGJzR",FALSE,0,NA,2016-09-30 19:52:10,FALSE,NA,"781944746424033280",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ezeudenwa",0,FALSE,FALSE,NA,NA
"306","RT @Amaka_Ekwo: Savaged by Boko Haram https://t.co/L9R1b3LOEx",FALSE,0,NA,2016-09-30 19:52:04,FALSE,NA,"781944724349448193",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ugochuk8987786",32,TRUE,FALSE,NA,NA
"307","RT @mercycorps: Our research found that about 800,000 people were living in burned-out villages and camps across Borno, #Nigeria: https://t…",FALSE,0,NA,2016-09-30 19:51:57,FALSE,NA,"781944692908761088",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","WIyekekpolo",2,TRUE,FALSE,NA,NA
